sigma_exc,sigma_inh,g_exc,g_inh,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,composite_error,error_message
0.125,0.1,0.625,-0.825,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.625,-0.4750000000000001,0.0001832898120600517,0.9643833763883739,0.269318991949604,0.00019005907261268154,0.0006805677190947958,0.14085056177277627,0.0706184121519909,
0.125,0.1,0.75,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.625,-0.65,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.625,-0.3,0.00030236061650616534,0.9397009960148597,0.3526855058644891,0.0003217625761500824,0.0008573094484419785,0.05433002319042985,0.027433002257748345,
0.125,0.1,0.5,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
0.125,0.1,0.75,-0.65,0.0010088420449795648,0.9655644311570263,0.2647354737169292,0.0010448210414321795,0.0038107550560386116,0.14881889081673796,0.07548504273200636,
0.125,0.1,0.875,-0.825,0.004149734335065968,0.9671854069974559,0.25832172708185464,0.004290526161931247,0.01606420947220997,0.16520752128798705,0.0871037603870149,
0.125,0.1,0.875,-0.4750000000000001,0.0021847721996724476,0.9175748082103525,0.41477983712984406,0.002381028943158717,0.005267305698344539,0.04838192185802956,0.0259587307516313,
0.125,0.1,0.75,-0.4750000000000001,0.0008228015487105223,0.9411137681630813,0.3483998700825021,0.000874284882234444,0.0023616585979658387,0.05626795986977571,0.028868597119151355,
0.125,0.1,0.75,-0.3,0.0009685543730980922,0.9194923377037445,0.40971589475798204,0.0010533577310533043,0.00236396582483141,0.050777633144815294,0.02617761705668992,
0.125,0.1,0.875,-0.65,0.004537730344977366,0.9403950196154397,0.3505859316180149,0.00482534488387609,0.01294327563012855,0.0511827523828503,0.029627634782613686,
0.125,0.1,0.875,-1.0,0.0,0.0,6.069708517540586,0.0,0.0,,,
